mlb_name,mlb_id,team_name,Total_deltaRE,Count,Framing_Runs_Above_Average
Adley Rutschman,668939,orioles,2.789846528781504,50,1.8627196846924656
Francisco Alvarez,682626,mets,2.477476857257774,49,1.5503500131687353
William Contreras,661388,brewers,2.2286055596646057,44,1.3014787155755672
Austin Hedges,595978,rangers,1.9836013512513753,30,1.0564745071623367
Jonah Heim,641680,rangers,1.9588729714272965,55,1.0317461273382578
Shea Langeliers,669127,athletics,1.750173391669293,53,0.8230465475802543
Christian Vazquez,543877,twins,1.5987324260254139,36,0.6716055819363752
Matt Thaiss,642136,angels,1.4510486271892622,33,0.5239217831002235
Will Smith,669257,dodgers,1.3561666421695835,35,0.4290397980805448
Gabriel Moreno,672515,dbacks,1.276808642914353,34,0.34968179882531436
Martin Maldonado,455117,astros,1.1164950900937105,46,0.18936824600467184
J.T. Realmuto,592663,phillies,1.0319126613811676,48,0.10478581729212888
Kyle Higashioka,543309,yankees,0.9976074906219444,27,0.07048064653290576
Yasmani Grandal,518735,whitesox,0.9728346333625868,37,0.04570778927354813
Cal Raleigh,663728,mariners,0.9518989719786162,39,0.0247721278895775
Travis dArnaud,518595,braves,0.9209971726327763,31,-0.00612967145626242
Freddy Fermin,666023,royals,0.85592111509419,25,-0.07120572899484867
Sean Murphy,669221,braves,0.6991927431919541,36,-0.22793410089708455
Patrick Bailey,672275,giants,0.6970506202037787,36,-0.23007622388525995
Nick Fortes,663743,marlins,0.6837576430458311,29,-0.24336920104320758
Ryan Jeffers,680777,twins,0.6750281222176885,34,-0.2520987218713502
Jacob Stallings,607732,marlins,0.6570075038470748,30,-0.2701193402419638
Bo Naylor,666310,indians,0.6519783391197715,30,-0.2751485049692671
Jake Rogers,668670,tigers,0.6203447742854515,46,-0.30678206980358713
Salvador Perez,521692,royals,0.5919641506281548,35,-0.3351626934608839
Keibert Ruiz,660688,nationals,0.4976130483219817,54,-0.42951379576705695
Christian Bethancourt,542194,rays,0.39654508022282575,33,-0.5305817638662129
Connor Wong,657136,redsox,0.33077482272537173,43,-0.5963520213636669
Victor Caratini,605170,brewers,0.30227302435994385,29,-0.6248538197290948
Willson Contreras,575929,cardinals,0.28713186709057853,30,-0.6399949769984601
Yan Gomes,543228,cubs,0.1705465390083014,38,-0.7565803050807373
Andrew Knizner,668800,cardinals,-0.039744671045829655,25,-0.9668715151348684
Tyler Stephenson,663886,reds,-0.3588156015411642,35,-1.2859424456302029
Elias Diaz,553869,rockies,-1.0593354401698523,53,-1.986462284258891
